2020-02-13/22:53:11		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:14		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:14		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:14		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:15		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:16		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:17		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:18		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
2020-02-13/22:53:19		 mushroom_08012020_120000.csv.csv: File loaded successfully!!
